"","GENE","ORF","ID","Days","pVal","Value","Diff","Abundance","Description"
"3834","PYC1","YGL062W",2426,"1 2 3 4 5 10 12 14",0.267656835542977,16.023,0.062,521,"Pyruvate carboxylase isoform; cytoplasmic enzyme that converts pyruvate to oxaloacetate; differentially regulated than isoform Pyc2p; mutations in the human homolog are associated with lactic acidosis; PYC1 has a paralog, PYC2, that arose from the whole genome duplication"
"3835",NA,"YGR201C",2690,"1 2 3 4 5",0.268359315774522,11.073,0.601,NA,"Putative protein of unknown function"
"1108","IRC18","YJL037W",3440,"1 2 3 4 5 7 10 12 14",0.268599354982592,11.285,-0.432,300,"Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; expression induced in respiratory-deficient cells and in carbon-limited chemostat cultures; similar to adjacent ORF, LOH1/YJL038C, and the double mutant irc18 loh1 exhibits reduced dityrosine fluorescence relative to the single mutants; null mutant displays increased levels of spontaneous Rad52p foci"
"1109","FMP23","YBR047W",922,"2 3 4 5 7 10 12 14",0.268599948576183,10.505,-0.508,1690,"Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"3836","NBP35","YGL091C",1682,"1 3 4 5 7 10 12 14",0.268629539202736,11.134,0.48,2520,"Essential cytoplasmic iron-sulfur cluster binding protein; forms a complex with Cfd1p that is involved in iron-sulfur protein assembly in the cytosol; similar to P-loop NTPases"
"1110","VMA6","YLR447C",2134,"7 10 12 14",0.268652976055718,11.918,-0.39,NA,"Subunit d of the V0 integral membrane domain of V-ATPase; part of the electrogenic proton pump found in the endomembrane system; required for V1 domain assembly on the vacuolar membrane; the V0 integral membrane domain of vacuolar H+-ATPase (V-ATPase) has five subunits"
"3837","CBP1","YJL209W",2458,"1 2 3 4 5 7 10 12",0.268795969314117,10.414,0.523,1800,"Mitochondrial protein, regulator of COB mRNA stability and translation; interacts with the 5'-untranslated region of the COB mRNA; found in a complex at the inner membrane along with Pet309p; localizes to mitochondrial foci upon DNA replication stress"
"1112","RIM21","YNL294C",1056,"1 2 3 4 5 7 10 12 14",0.26892938854026,10.686,-0.481,NA,"pH sensor molecule, component of the RIM101 pathway; has a role in cell wall construction and alkaline pH response; is glycosylated and phosphorylated; interacts with Dfg16p and Rim9p to form a pH-sensing complex; localization to the plasma membrane is dependent on Dfg16p and Rim9p; has similarity to A. nidulans PalH"
"3838","CDA1","YLR307W",222,"3 4 5 7 10 12 14",0.26892938854026,11.219,0.461,1300,"Chitin deacetylase; together with Cda2p involved in the biosynthesis ascospore wall component, chitosan; required for proper rigidity of the ascospore wall"
"1111","DAD1","YDR016C",1803,"1 3 4 5 7 10 12 14",0.26892938854026,11.187,-0.442,1360,"Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis"
"3839","DOT5","YIL010W",2453,"1 2 3 4 5 7 10 12 14",0.269008116730187,11.545,0.457,7330,"Nuclear thiol peroxidase; functions as an alkyl-hydroperoxide reductase during post-diauxic growth"
"1113","RTS3","YGR161C",2915,"2 3 4 5 7 10 12 14",0.269182255589739,11.569,-0.484,1270,"Putative component of the protein phosphatase type 2A complex"
"1114","POP2","YNR052C",663,"1 2 3 4 5 7 10 12 14",0.269864032974907,10.239,-0.463,NA,"RNase of the DEDD superfamily; subunit of the Ccr4-Not complex that mediates 3' to 5' mRNA deadenylation"
"3840","MSN5","YDR335W",1163,"2 3 4 5 7 12 14",0.269887257967566,9.154,0.417,29000,"Karyopherin; involved in nuclear import and export of proteins, including import of replication protein A and export of Far1p and transcription factors Swi5p, Swi6p, Msn2p, and Pho4p; required for re-export of mature tRNAs after their retrograde import from the cytoplasm; exportin-5 homolog"
"3841","CSL4","YNL232W",1450,"2 3 4 5 7 10 12",0.270016733848845,11.453,0.79,NA,"Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain an S1 RNA binding domain; human homolog EXOSC1 partially complements yeast csl4 null mutant, and can complement inviability of strain in which expression of CSL4 is repressed"
"3843",NA,"YLR345W",1830,"2 3 4 5 7 10 12 14",0.270721979591026,10.601,0.587,NA,"Similar to 6-phosphofructo-2-kinase enzymes; mRNA expression is repressed by the Rfx1p-Tup1p-Ssn6p repressor complex; YLR345W is not an essential gene"
"1115","RXT2","YBR095C",3147,"1 2 3 4 5 7 10 12 14",0.270771318775111,10.842,-0.485,2360,"Component of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth; relocalizes to the cytosol in response to hypoxia"
"3844","REV1","YOR346W",1628,"1 2 3 4 5 7 10 12 14",0.270957174631153,11.329,0.486,NA,"Deoxycytidyl transferase; involved in repair of abasic sites and adducted guanines in damaged DNA by translesion synthesis (TLS); forms a complex with the subunits of DNA polymerase zeta, Rev3p and Rev7p; relocalizes from nucleus to cytoplasm upon DNA replication stress"
"1116","FAR7","YFR008W",553,"1 2 3 4 5 7 10 12 14",0.271176188532817,10.064,-0.44,35100,"Protein involved in recovery from pheromone-induced cell cycle arrest; acts in a Far1p-independent pathway; interacts with Far3p, Far8p, Far9p, Far10p, and Far11p; protein abundance increases in response to DNA replication stress"
"3845","ERR1","YOR393W",697,"1 2 3 4 5 7 10 12 14",0.271176188532817,10.217,0.544,2250,"Putative phosphopyruvate hydratase"
"1117","MRX1","YER077C",2551,"1 2 3 4 5 7 10 12 14",0.271559261889464,11.43,-0.435,NA,"Protein that associates with mitochondrial ribosome; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; null mutation results in a decrease in plasma membrane electron transport"
"3846","KRE28","YDR532C",2114,"1 2 3 5 7 10 12 14",0.271648533276134,12.179,0.465,768,"Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Spc105p; modified by sumoylation"
"3847","CDC24","YAL041W",846,"7 10 12 14",0.271677316806646,11.646,0.429,2430,"Guanine nucleotide exchange factor for Cdc42p; also known as a GEF or GDP-release factor; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress"
"1118","MRPS35","YGR165W",2121,"1 4 5 7 10 12 14",0.27169188358941,11.254,-0.403,14600,"Mitochondrial ribosomal protein of the small subunit; null mutant does not grow on glycerol, is sensitive to 2,4-dichlorophenol, and accumulates large lipid droplets"
"3848","YPT53","YNL093W",926,"1 2 3 4 5 7 10 12 14",0.271774006461044,11.21,0.583,3750,"Stress-induced Rab family GTPase; required for vacuolar protein sorting and endocytosis; involved in ionic stress tolerance; similar to Vps21p and Ypt52p; functional homolog of Vps21p; mammalian Rab5 homolog; YPT53 has a paralog, VPS21, that arose from the whole genome duplication"
"3849","YHM2","YMR241W",1391,"1 2 3 4 5 7 10 12 14",0.271899791001002,11.336,0.414,NA,"Citrate and oxoglutarate carrier protein; exports citrate from and imports oxoglutarate into the mitochondrion, causing net export of NADPH reducing equivalents; also associates with mt nucleoids and has a role in replication and segregation of the mt genome"
"1120","UBP12","YJL197W",1098,"2 3 4 5 7 10 12 14",0.27218752974265,11.468,-0.389,4670,"Ubiquitin-specific protease; cleaves ubiquitin from ubiquitinated proteins; present in the nucleus and cytoplasm"
"3850","GAL2","YLR081W",1587,"1 2 3 4 5 7 10 12 14",0.272806981193383,11.309,0.453,5040,"Galactose permease; required for utilization of galactose; also able to transport glucose"
"3851","MET22","YOL064C",650,"1 2 4 5 7 10 12 14",0.273111127739297,10.733,0.407,NA,"Bisphosphate-3'-nucleotidase; involved in salt tolerance and methionine biogenesis; dephosphorylates 3'-phosphoadenosine-5'-phosphate and 3'-phosphoadenosine-5'-phosphosulfate, intermediates of the sulfate assimilation pathway; human homolog BPNT1 complements yeast null mutant"
"3853","RPR2","YIR015W",2464,"1 2 3 4 5 7 10 12 14",0.273433893528158,11.357,0.445,NA,"Subunit of nuclear RNase P; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; not shared between RNase MRP and RNase P, in contrast to all other RNase P protein subunits; protein abundance increases in response to DNA replication stress"
"3852","SPG3","YDR504C",1476,"3 5 7 10 12 14",0.273433893528158,11.243,0.425,NA,"Protein required for high temperature survival during stationary phase; not required for growth on nonfermentable carbon sources"
"1121","MMS4","YBR098W",862,"1 2 3 4 5 7 10 12 14",0.273445967870595,11.22,-0.435,7700,"Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in recombination, DNA repair, and joint molecule formation/resolution during meiotic recombination; phosphorylation of the non-catalytic subunit Mms4p by Cdc28p and Cdc5p during mitotic cell cycle activates the function of Mms4p-Mus81p"
"3854","LIP5","YOR196C",3103,"1 2 3 4 5 7 10 12 14",0.273445967870595,11.733,0.464,NA,"Protein involved in biosynthesis of the coenzyme lipoic acid; has similarity to E. coli lipoic acid synthase"
"3855","SPO71","YDR104C",188,"1 2 3 4 5 7 10 12 14",0.273771719821113,11.318,0.508,NA,"Meiosis-specific protein required for spore wall formation; localizes to prospore membrane (PSM) and is required for PSM closure during sporulation; mediates PSM size; interacts with Spo1p and Vps13p and recruits Vps13p to the PSM during sporulation; mutants exhibit reduction in PSM PtdIns-phosphate pools; dispensable for both nuclear divisions during meiosis; contains two PH domains"
"3856","BOP2","YLR267W",919,"2 3 4 5 7 10 12 14",0.273771719821113,11.455,0.47,NA,"Protein of unknown function"
"1122","FMP46","YKR049C",1211,"2 3 4 5 7 10 12 14",0.273771719821113,10.1,-0.495,28000,"Putative redox protein containing a thioredoxin fold; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"3857","PEX30","YLR324W",2520,"1 2 10 12 14",0.274423978075681,15.413,0.068,1400,"Peroxisomal integral membrane protein; involved in negative regulation of peroxisome number; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p; PEX30 has a paralog, PEX31, that arose from the whole genome duplication"
"3858",NA,"YER078W-A",2572,"4 5 7 10 12 14",0.274621045368299,11.421,0.428,300,"Putative protein of unknown function; identified by fungal homology and RT-PCR"
"1123",NA,"YNL050C",1861,"1 2 3 4 5 7 10 12 14",0.275119855967465,12.599,-0.21,1180,"Putative protein of unknown function; YNL050c is not an essential gene"
"3860","DBF4","YDR052C",700,"1 2 3 4 5 7 10 12 14",0.275255011872629,10.403,0.59,NA,"Regulatory subunit of Cdc7p-Dbf4p kinase complex; required for Cdc7p kinase activity and initiation of DNA replication; phosphorylates the Mcm2-7 family of proteins; cell cycle regulated; relative distribution to the nucleus increases upon DNA replication stress"
"3859",NA,"YBL113C",1609,"1 2 3 4 5 10 14",0.275255011872629,10.376,0.528,NA,"Helicase-like protein encoded within the telomeric Y' element"
"1126","MSD1","YPL104W",2163,"1 2 3 4 5 7 10 12 14",0.276465798192348,11.076,-0.474,NA,"Mitochondrial aspartyl-tRNA synthetase; required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene"
"3862","ERG24","YNL280C",3180,"2 3 4 5 10 12 14",0.277597820101925,11.387,0.449,NA,"C-14 sterol reductase; acts in ergosterol biosynthesis; mutants accumulate the abnormal sterol ignosterol (ergosta-8,14 dienol), and are viable under anaerobic growth conditions but inviable on rich medium under aerobic conditions"
"3863",NA,"YAR066W",1204,"2 3 4 5 7 10 12 14",0.277633878617919,11.129,0.417,3060,"Putative GPI protein; YAR066W has a paralog, YHR214W, that arose from a segmental duplication"
"1127","GYP8","YFL027C",1151,"7 10 12 14",0.278020671074532,11.761,-0.377,NA,"GTPase-activating protein for yeast Rab family members; Ypt1p is the preferred in vitro substrate but also acts on Sec4p, Ypt31p and Ypt32p; involved in the regulation of ER to Golgi vesicle transport"
"3864","QRI7","YDL104C",1686,"3 4 7 10 12 14",0.27802912249445,11.505,0.428,1720,"Protein involved in threonylcarbamoyl adenosine biosynthesis; Sua5p and Qri7p are necessary and sufficient for RNA t6A modification in vitro; highly conserved mitochondrial protein; essential for t6A modification of mitochondrial tRNAs that decode ANN codons; similar to Kae1p and E. coli YgjD, both of which are also required for tRNA t6A modification; when directed to the cytoplasm, complements the essential function of Kae1p in the KEOPS complex"
"3865","RRS1","YOR294W",322,"1 2 3 4 7 10 12 14",0.278201435119326,13.602,0.162,13000,"Essential protein that binds ribosomal protein L11; required for nuclear export of the 60S pre-ribosomal subunit during ribosome biogenesis; localizes to the nucleolus and in foci along nuclear periphery; cooperates with Ebp2p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering; mouse homolog shows altered expression in Huntington's disease model mice"
"1128","SEC26","YDR238C",2052,"4 5 7 10 12 14",0.278646055212732,11.159,-0.523,1170,"Essential beta-coat protein of the COPI coatomer; involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)"
"3867","YPT10","YBR264C",2342,"4 5 7 10 12 14",0.27867582512412,11.118,0.402,33100,"Rab family GTP-binding protein; contains the PEST signal sequence specific for proteolytic enzymes; may be involved in vesicular transport; overexpression leads to accumulation of Golgi-like cisternae with budding vesicles"
"3868",NA,"YHR138C",2294,"1 2 3 4 5 7 10 12 14",0.278961014180427,11.334,0.416,NA,"Protein of unknown function; similar to Pbi2p; double null mutant lacking Pbi2p and Yhr138cp exhibits highly fragmented vacuoles; protein abundance increases in response to DNA replication stress"
"3869","PDA1","YER178W",266,"2 3 4 5 7 10 12 14",0.279314217247893,10.314,0.477,3070,"E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes"
"1129",NA,"YLR126C",3210,"1 2 3 4 5 7 10 12 14",0.279822316075476,11.561,-0.388,1580,"Putative glutamine amidotransferase; has Aft1p-binding motif in the promoter; may be involved in copper and iron homeostasis; YLR126C is not an essential protein; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"
"1130","CLB1","YGR108W",780,"1 2 3 4 5 7 10 12 14",0.280067632227955,10.956,-0.445,5130,"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the transition from G2 to M phase; accumulates during G2 and M, then targeted via a destruction box motif for ubiquitin-mediated degradation by the proteasome; CLB1 has a paralog, CLB2, that arose from the whole genome duplication"
"3870","NGL1","YOL042W",1256,"3 4 5 7 10 12 14",0.280067632227955,11.364,0.441,4300,"Putative endonuclease; has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"3871",NA,"YGR226C",2409,"1 2 10 12 14",0.280199260789275,11.166,0.442,166,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; overlaps significantly with a verified ORF, AMA1/YGR225W"
"1131","WHI4","YDL224C",2143,"2 3 4 5 7 10 12 14",0.280199260789275,11.678,-0.449,1420,"Putative RNA binding protein; regulates the cell size requirement for passage through Start and commitment to cell division; WHI4 has a paralog, WHI3, that arose from the whole genome duplication"
"1132","DAM1","YGR113W",1869,"3 4 5 7 10 12 14",0.280659465102721,11.099,-0.467,NA,"Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Duo1p to connect the DASH complex with the microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; Ipl1p target for regulating kinetochore-MT attachments"
"1133","RPC25","YKL144C",1552,"2 3 4 5 7 10 12 14",0.28067692523544,13.4,-0.396,NA,"RNA polymerase III subunit C25; required for transcription initiation; forms a heterodimer with Rpc17p; paralog of Rpb7p"
"3873","DPB4","YDR121W",1528,"1 2 3 4 5 7 10 12 14",0.281449173410427,11.102,0.543,1730,"Subunit of DNA pol epsilon and of ISW2 chromatin accessibility complex; involved in both chromosomal DNA replication and inheritance of telomeric silencing; stabilizes the interaction of Pol epsilon with primer-template DNA, positively affecting the processivity of the polymerase and exonuclease activities of Pol epsilon; interacts with extranucleosomal DNA and acts as anchor point for ISW2 complex that retains its position on DNA during nucleosome mobilization"
"1134","TEX1","YNL253W",1888,"2 3 4 5 7 10 12 14",0.281449173410427,12.018,-0.409,6000,"Protein involved in mRNA export; component of the transcription export (TREX) complex"
"3874",NA,"YBR238C",1312,"1 2 3 4 5 7 10 12 14",0.281988359364454,11.204,0.579,135000,"Mitochondrial membrane protein; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span; YBR238C has a paralog, RMD9, that arose from the whole genome duplication"
"3875","HOS4","YIL112W",615,"1 2 3 4 5 7 10 12 14",0.282195357992489,10.95,0.571,1720,"Subunit of the Set3 complex; complex is a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; potential Cdc28p substrate"
"1135","CHK1","YBR274W",116,"1 2 3 4 5 7 10 12 14",0.282973699802433,11.241,-0.427,6370,"Serine/threonine kinase and DNA damage checkpoint effector; mediates cell cycle arrest via phosphorylation of Pds1p; phosphorylated by checkpoint signal transducer Mec1p; homolog of S. pombe and mammalian Chk1 checkpoint kinase"
"1136","HIM1","YDR317W",2111,"1 2 3 4 5 7 10 12 14",0.282973699802433,10.792,-0.471,704,"Protein of unknown function involved in DNA repair"
"1137","AFT1","YGL071W",1669,"2 3 4 5 7 10 12 14",0.282973699802433,10.706,-0.467,1160,"Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress"
"1138","ITR2","YOL103W",1248,"3 4 5 7 10 12 14",0.28391954598103,11.981,-0.363,3000,"Myo-inositol transporter; member of the sugar transporter superfamily; expressed constitutively; ITR2 has a paralog, ITR1, that arose from the whole genome duplication"
"1139","PYK2","YOR347C",2065,"3 4 5 7 10 12 14",0.28482252280372,11.942,-0.374,2610,"Pyruvate kinase; appears to be modulated by phosphorylation; transcription repressed by glucose, and Pyk2p may be active under low glycolytic flux; PYK2 has a paralog, CDC19, that arose from the whole genome duplication"
"3876","DOG1","YHR044C",2291,"1 3 5 7 10 12 14",0.284996651281257,11.614,0.422,1050,"2-deoxyglucose-6-phosphate phosphatase; member of a family of low molecular weight phosphatases; confers 2-deoxyglucose resistance when overexpressed; DOG1 has a paralog, DOG2, that arose from a single-locus duplication; the last half of DOG1 and DOG2 are subject to gene conversions among S. cerevisiae, S. paradoxus, and S. mikatae"
"3877","CCR4","YAL021C",1176,"1 2 3 4 5 7 10 12 14",0.28534393414938,10.234,0.46,1720,"Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"
"1140",NA,"YCR090C",2466,"1 2 3 4 7 10",0.285428057195587,10.229,-0.476,NA,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YCR090C is not an essential gene"
"3878","AGX1","YFL030W",965,"3 4 5 7 10 12 14",0.285709559137691,11.2,0.548,NA,"Alanine:glyoxylate aminotransferase (AGT); catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast; similar to mammalian and plant alanine:glyoxylate aminotransferases; human homolog AGXT complements yeast null mutant"
"3880","PLB1","YMR008C",3057,"1 2 3 4 5 7 10 12 14",0.286219102641362,10.296,0.485,319,"Phospholipase B (lysophospholipase) involved in lipid metabolism; required for efficient acyl chain remodeling of newly synthesized phosphatidylethanolamine-derived phosphatidylcholine; required for deacylation of phosphatidylcholine and phosphatidylethanolamine but not phosphatidylinositol; PLB1 has a paralog, PLB3, that arose from the whole genome duplication"
"3879","APA2","YDR530C",472,"3 4 5 7 10 12 14",0.286219102641362,11.09,0.533,1960,"Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase II; AP4A phosphorylase involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; APA2 has a paralog, APA1, that arose from the whole genome duplication"
"1141","TIF3","YPR163C",3046,"1 2 3 4 5 7 10 12 14",0.286832232491865,15.295,-0.066,937,"Translation initiation factor eIF-4B; contains an RNA recognition motif and binds to single-stranded RNA; has RNA annealing activity; interacts with Rps20p at the head of the 40S ribosomal subunit and alters the structure of the mRNA entry channel"
"1142","RFM1","YOR279C",245,"1 4 5 7 10 12 14",0.286853248962571,9.594,-0.355,1660,"Component of the Sum1p-Rfm1p-Hst1p complex; Rfm1p tethers the Hst1p histone deacetylase to the DNA-binding protein Sum1p; complex is involved in transcriptional repression of middle sporulation genes and in initiation of DNA replication"
"1143",NA,"YJL213W",3489,"1 3 4 5 7 10 12 14",0.287274289579635,9.697,-0.458,NA,"Protein of unknown function that may interact with ribosomes; periodically expressed during the yeast metabolic cycle; phosphorylated in vitro by the mitotic exit network (MEN) kinase complex, Dbf2p/Mob1p"
"3881","AVT4","YNL101W",567,"1 2 3 4 5 7 10 12 14",0.287539769744869,10.976,0.417,28100,"Vacuolar transporter; exports large neutral amino acids from the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs)"
"3882","MSE1","YOL033W",2556,"1 2 3 4 5 7 10 12 14",0.287615929331382,11.239,0.428,1270,"Mitochondrial glutamyl-tRNA synthetase; predicted to be palmitoylated"
"3883","DUS3","YLR401C",1798,"1 2 3 4 5 7 10 12 14",0.287682293423662,11.23,0.442,NA,"Dihydrouridine synthase; member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus4p; contains a consensus oleate response element (ORE) in its promoter region; forms nuclear foci upon DNA replication stress"
"1144",NA,"YFL067W",2618,"1 2 3 4 5 7 10 12 14",0.287803151865042,10.654,-0.477,339,"Protein of unknown function; down-regulated at low calcium levels"
"1145","SRO77","YBL106C",209,"3 4 5 7 10 12 14",0.287817575444267,11.117,-0.424,1330,"Protein with roles in exocytosis and cation homeostasis; functions in docking and fusion of post-Golgi vesicles with plasma membrane; regulates cell proliferation and colony development via the Rho1-Tor1 pathway; interacts with SNARE protein Sec9p; homolog of Drosophila lethal giant larvae tumor suppressor; SRO77 has a paralog, SRO7, that arose from the whole genome duplication"
"1146","ISC1","YER019W",821,"4 5 10 12 14",0.287931115892789,12.329,-0.609,NA,"Inositol phosphosphingolipid phospholipase C; mitochondrial membrane localized; hydrolyzes complex sphingolipids to produce ceramide; activates genes required for non-fermentable carbon source metabolism during diauxic shift; activated by phosphatidylserine, cardiolipin, and phosphatidylglycerol; mediates Na+ and Li+ halotolerance; ortholog of mammalian neutral sphingomyelinase type 2"
"3884","HUL5","YGL141W",2818,"1 2 3 4 5 7 10 12 14",0.288701447298848,11.659,0.42,3900,"Multiubiquitin chain assembly factor (E4); proteasome processivity factor that elongates polyUb chains on substrates, opposing Ubp6p, a branched polyubiquitin protease; required for retrograde transport of misfolded proteins during ERAD; required for ubiquitylation of a subset of cytosolic misfolded proteins upon heat shock"
"1147","HFM1","YGL251C",8,"1 2 3 4 5 7 10 12 14",0.28875795312024,10.526,-0.521,1890,"Meiosis specific DNA helicase; involved in the conversion of double-stranded breaks to later recombination intermediates and in crossover control; catalyzes the unwinding of Holliday junctions; has ssDNA and dsDNA stimulated ATPase activity"
"3885","MEK1","YOR351C",739,"1 2 3 4 5 7 10 12 14",0.289226510748947,11.346,0.465,2880,"Meiosis-specific serine/threonine protein kinase; functions in meiotic checkpoint, promotes recombination between homologous chromosomes by suppressing double strand break repair between sister chromatids; stabilizes Hop1-Thr318 phosphorylation to promote interhomolog recombination and checkpoint responses during meiosis"
"1148","HUA1","YGR268C",2925,"1 2 3 4 5 7 10 12 14",0.290179263973244,11.578,-0.382,9560,"Cytoplasmic protein containing a zinc finger domain; sequence similarity to that of Type I J-proteins; computational analysis of large-scale protein-protein interaction data suggests a possible role in actin patch assembly"
"3886","TEN1","YLR010C",2083,"1 2 3 4 5 7 10 12 14",0.29073004451437,9.463,0.391,NA,"Protein that regulates telomeric length; protects telomeric ends in a complex with Cdc13p and Stn1p; similar to human Ten1 which is critical for the telomeric function of the CST (Cdc13p-Stn1p-Ten1p) complex"
"1149","TDA3","YHR009C",2743,"3 4 5 7",0.291712830406321,10.465,-0.508,172,"Putative oxidoreductase involved in late endosome to Golgi transport; physical and genetical interactions with Btn2p; null mutant is viable, has extended S phase, and sensitive to expression of top1-T722A allele; similar to human FOXRED1"
"1150","ICP55","YER078C",2184,"1 2 3 4 5 7 10 12 14",0.292036290853213,11.239,-0.475,NA,"Mitochondrial aminopeptidase; cleaves the N termini of at least 38 imported proteins after cleavage by the mitochondrial processing peptidase (MPP), thereby increasing their stability; member of the aminopeptidase P family"
"3887","CDH1","YGL003C",81,"2 3 4 5 7 10 12 14",0.292113654999696,10.035,0.451,377,"Activator of anaphase-promoting complex/cyclosome (APC/C); cell-cycle regulated; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p"
"3888","HEM15","YOR176W",3023,"3 4 5 7 10 12 14",0.292184512365241,11.6,0.399,396,"Ferrochelatase; a mitochondrial inner membrane protein, catalyzes the insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme biosynthetic pathway"
"1151","TEA1","YOR337W",1903,"4 5 7 10 12 14",0.292816130663509,11.948,-0.364,937,"Ty1 enhancer activator involved in Ty enhancer-mediated transcription; required for full levels of Ty enhancer-mediated transcription; C6 zinc cluster DNA-binding protein"
"3889","MXR1","YER042W",190,"2 3 5 7 10 12 14",0.293875520573219,11.301,0.459,NA,"Methionine-S-sulfoxide reductase; involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR2; involved in the regulation of lifespan; reduced activity of human homolog implicated in Alzheimer disease"
"3890","RTG3","YBL103C",1344,"1 2 3 5 10 12 14",0.294302086066361,10.687,0.418,NA,"bHLH/Zip transcription factor for retrograde (RTG) and TOR pathways; forms a complex with another bHLH/Zip protein, Rtg1p, to activate the pathways; target of Hog1p"
"3891","MCM5","YLR274W",1815,"1 3 4 5 7 10 12 14",0.294532235894201,10.693,0.537,NA,"Component of the Mcm2-7 hexameric helicase complex; MCM complex is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase"
"1152","TGL2","YDR058C",2914,"2 3 4 5 7 10 12 14",0.2947212733094,11.559,-0.349,NA,"Triacylglycerol lipase that is localized to the mitochondria; has lipolytic activity towards triacylglycerols and diacylglycerols when expressed in E. coli"
"1153","RPS29B","YDL061C",3219,"2 4 5 7 10 12 14",0.295385034656614,11.514,-0.363,NA,"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S29 and bacterial S14; RPS29B has a paralog, RPS29A, that arose from the whole genome duplication"
"1154","SEM1","YDR363W-A",287,"1 2 3 4 5 7 12 14",0.296735598497567,12.444,-0.717,688,"Component of lid subcomplex of 26S proteasome regulatory subunit; involved in mRNA export mediated by TREX-2 complex (Sac3p-Thp1p); assumes different conformations in different contexts, functions as molecular glue stabilizing the Rpn3p/Rpn7p regulatory heterodimer, and tethers it to lid helical bundle; ortholog of human DSS1; protein abundance increases in response to DNA replication stress"
